iter	Passed	Remaining
745	839	285
746	840	284
747	842	283
748	843	282
749	844	281
750	845	280
751	846	279
752	847	277
753	848	276
754	849	275
755	850	274
756	851	273
757	852	272
758	853	270
759	854	269
760	855	268
761	856	267
762	857	266
763	858	265
764	859	264
765	860	263
766	861	261
767	862	260
768	863	259
769	864	258
770	865	257
771	866	255
772	867	254
773	868	253
774	869	252
775	870	251
776	872	250
777	873	249
778	874	248
779	875	246
780	876	245
781	877	244
782	878	243
783	879	242
784	880	241
785	881	240
786	882	238
787	883	237
788	885	236
789	886	235
790	887	234
791	888	233
792	889	232
793	890	230
794	891	229
795	892	228
796	893	227
797	894	226
798	895	225
799	896	224
800	897	223
801	899	221
802	900	220
803	901	219
804	902	218
805	903	217
806	904	216
807	905	215
808	906	214
809	907	212
810	908	211
811	909	210
812	910	209
813	912	208
814	913	207
815	914	206
816	915	205
817	916	203
818	917	202
819	918	201
820	919	200
821	920	199
822	921	198
823	922	196
824	923	195
825	924	194
826	925	193
827	926	192
828	927	191
829	928	190
830	929	189
831	930	187
832	931	186
833	932	185
834	933	184
835	934	183
836	935	182
837	936	180
838	937	179
839	938	178
840	939	177
841	940	176
842	941	175
843	942	174
844	943	173
845	945	172
846	946	170
847	947	169
848	948	168
849	949	167
850	950	166
851	951	165
852	952	164
853	953	162
854	954	161
855	955	160
856	956	159
857	958	158
858	959	157
859	960	156
860	961	155
861	962	154
862	963	152
863	964	151
864	965	150
865	966	149
866	967	148
867	968	147
868	969	146
869	970	145
870	971	143
871	972	142
872	973	141
873	973	140
874	974	139
875	975	138
876	976	136
877	977	135
878	977	134
879	978	133
880	979	132
881	980	131
882	981	130
883	982	128
884	983	127
885	984	126
886	985	125
887	985	124
888	986	123
889	987	122
890	988	120
891	989	119
892	989	118
893	990	117
894	991	116
895	992	115
896	993	114
897	993	112
898	994	111
899	995	110
900	996	109
901	997	108
902	998	107
903	999	106
904	1000	104
905	1000	103
906	1001	102
907	1002	101
908	1003	100
909	1004	99
910	1005	98
911	1005	97
912	1006	95
913	1007	94
914	1008	93
915	1008	92
916	1009	91
917	1010	90
918	1011	89
919	1012	88
920	1013	86
921	1014	85
922	1015	84
923	1015	83
924	1016	82
925	1017	81
926	1018	80
927	1019	79
928	1020	77
929	1020	76
930	1021	75
931	1022	74
932	1024	73
933	1025	72
934	1025	71
935	1026	70
936	1027	69
937	1028	67
938	1029	66
939	1029	65
940	1030	64
941	1031	63
942	1032	62
943	1033	61
944	1034	60
945	1034	59
946	1035	57
947	1036	56
948	1037	55
949	1038	54
950	1039	53
951	1040	52
952	1040	51
953	1041	50
954	1042	49
955	1043	48
956	1044	46
957	1045	45
958	1045	44
959	1046	43
960	1047	42
961	1048	41
962	1049	40
963	1049	39
964	1050	38
965	1051	37
966	1052	35
967	1053	34
968	1054	33
